,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
159,439 Wolf St,Philadelphia,PA,19148,315000,1000,909,2,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2122,Multi family,1915,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
160,2327 E Norris St,Philadelphia,PA,19125,355500,2211,832,2,[''],4,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4947,Multi family,1875,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
161,3047 Tremont St,Philadelphia,PA,19136,202000,1138,2037,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2370,Multi family,1955,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
162,1727 Pierce St,Philadelphia,PA,19145,155000,728,665,1,[''],2,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1687,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
163,123644 E Oxford St,Philadelphia,PA,19125,800000,675,3344,1,[''],3,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2732,[],1925,[],['Neighborhood: COBBS CREEK<'],['0'],53.0
164,2043 E Susquehanna Ave,Philadelphia,PA,19125,580000,2225,1331,2,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5433,Multi family,1875,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
165,3007-11 Midvale Ave,Philadelphia,PA,19129,539000,2580,13500,2,1,6,[],[],['Central A/C'],['Steam'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6699,Single family,1920,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
166,618 Sears St,Philadelphia,PA,19147,365000,1100,728,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3470,Multi family,1915,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
167,1541 Elbridge St,Philadelphia,PA,19149,215000,1296,[],2,1,3,[],[],[],[],[],[],[],[],[],Multi family,1950,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
168,1521 S Camac St,Philadelphia,PA,19147,400000,928,559,2,[''],3,[],[],['Central A/C'],['Central Heating'],"['Elementary School: ANDREW JACKSON ', 'Elementary School: ANDREW JACKSON']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3386,Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
169,6243 Algard St,Philadelphia,PA,19135,170000,1136,1446,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1561,Multi family,1945,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
170,575 Martin St,Philadelphia,PA,19128,272000,1497,1924,2,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3185,Single family,1950,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
171,518 Randolph Ct Unit G,Philadelphia,PA,19147,552000,1536,707,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7951,[],1975,[],['Neighborhood: COBBS CREEK<'],['4'],53.0
172,1326 N Mascher St Unit O,Philadelphia,PA,19122,609900,2400,839,3,[''],3,[],11,['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2094,Multi family,2017,05/15/2020,['Neighborhood: COBBS CREEK<'],['122'],53.0
173,1006 S 22nd St,Philadelphia,PA,19146,430000,1200,909,1,1,2,[],[],['Ceiling Fan(s)'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3264,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
174,1917 S Iseminger St,Philadelphia,PA,19148,359000,1453,675,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3200,Multi family,1925,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
175,2605 Tolbut St,Philadelphia,PA,19152,305000,2016,9792,2,1,5,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: POLLACK ', 'Elementary School: POLLACK']","['Middle School: AUSTIN MEEHAN ', 'Middle School: AUSTIN MEEHAN']","['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3330,Single family,1961,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
176,11226 Jeanes St,Philadelphia,PA,19116,300600,1722,4438,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: WILLIAM H', 'Elementary School: WILLIAM H']","['Middle School: BALDI ', 'Middle School: BALDI']","['High School: GEORGE WASHINGTON ', 'High School: GEORGE WASHINGTON']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3406,Single family,1969,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
177,1848 S 24th St,Philadelphia,PA,19145,179900,1060,745,1,[''],3,[],[],[],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1279,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
178,5262 Pennway St,Philadelphia,PA,19124,145000,1327,1567,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1321,Multi family,1940,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
179,4001 Dexter St,Philadelphia,PA,19128,230500,792,636,1,[''],2,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2951,Multi family,1940,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
180,938 Ernest St,Philadelphia,PA,19147,233089,768,383,1,[''],2,[],[],['Wall Unit Cooling'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2937,Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
181,208 Rock St,Philadelphia,PA,19128,270000,1152,1433,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2797,Multi family,1970,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
182,4719 Fowler St,Philadelphia,PA,19127,257500,1206,[],1,1,2,[],[],[],[],[],[],[],[],[],Single family,1930,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
183,1132 Pierce St,Philadelphia,PA,19148,425000,1701,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1933,05/17/2020,['Neighborhood: COBBS CREEK<'],[],
184,2821 W Lehigh Ave,Philadelphia,PA,19132,80000,1850,1194,2,[''],5,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,657,Multi family,1915,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
185,5403 Morse St,Philadelphia,PA,19131,224990,1206,1224,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,827,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
186,2100 Robbins Ave,Philadelphia,PA,19149,178500,1233,2494,1,1,3,[],[],['Ceiling Fan(s)'],['Forced Air Heating'],"['Elementary School: ZIEGLER ', 'Elementary School: ZIEGLER']","['Middle School: ETHAN ALLEN SCHOOL ', 'Middle School: ETHAN ALLEN SCHOOL']","['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1884,Multi family,1950,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
