,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
25,620 S 21st St,Philadelphia,PA,19146,650000,1440,930,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: GREENFIELD ', 'Elementary School: GREENFIELD']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5392,Multi family,1915,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
26,1032 Crease St,Philadelphia,PA,19125,320000,927,756,1,1,2,[],[],['Central A/C'],['Hot Water'],"['Elementary School: ALEXANDER ADAIRE ', 'Elementary School: ALEXANDER ADAIRE']","['Middle School: ALEXANDER ADAIRE ELEMENTARY SCHOOL ', 'Middle School: ALEXANDER ADAIRE ELEMENTARY SCHOOL']","['High School: KENSINGTON ', 'High School: KENSINGTON']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4346,Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
27,3642 Canby Dr,Philadelphia,PA,19154,259900,1332,1708,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2798,Multi family,1955,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
28,2419 E Boston St,Philadelphia,PA,19125,350000,990,1050,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2237,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
29,2233 Fontain St,Philadelphia,PA,19121,227273,1352,1020,4,[''],5,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,441,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
30,12251 Medford Rd,Philadelphia,PA,19154,279900,1740,4723,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3165,Single family,1974,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
31,3344 Rand St,Philadelphia,PA,19134,66500,868,601,1,[''],3,[],[],[],['Baseboard '],[],[],"['High School: EDISON ', 'High School: EDISON']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,580,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
32,2343 E Clearfield St,Philadelphia,PA,19134,234000,1506,1120,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1214,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
33,749 N Ringgold St,Philadelphia,PA,19130,680000,1632,888,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6915,Multi family,1980,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
34,4560 Unruh Ave,Philadelphia,PA,19135,160000,1170,1199,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1453,Multi family,1935,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
35,144 N Wilton St,Philadelphia,PA,19139,138000,1114,937,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,679,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
36,1634 Reed St,Philadelphia,PA,19146,321000,1232,927,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4383,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
37,1509 Dickinson St,Philadelphia,PA,19146,505000,2094,1101,2,1,4,[],11,['Central A/C'],['Central Heating'],"['Elementary School: GEORGE W CHILDS SCHOOL ', 'Elementary School: GEORGE W CHILDS SCHOOL']","['Middle School: GEORGE W CHILDS SCHOOL ', 'Middle School: GEORGE W CHILDS SCHOOL']","['High School: SOUTH PHILADELPHIA ', 'High School: SOUTH PHILADELPHIA']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2665,Multi family,1915,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
38,746 N 64th St,Philadelphia,PA,19151,150000,1480,1576,1,1,3,[],[],['Central A/C'],[],[],[],"['High School: OVERBROOK ', 'High School: OVERBROOK']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1765,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
39,9769 Clark St,Philadelphia,PA,19115,283750,1201,3237,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2973,Single family,1964,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
40,2808 Sebring Rd,Philadelphia,PA,19152,235000,1164,2869,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2706,Single family,1956,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
41,1542 S 12th St,Philadelphia,PA,19147,365000,1376,960,1,[''],3,[],[],['Wall Unit Cooling'],['Baseboard '],"['Elementary School: JACKSON ANDREW ', 'Elementary School: JACKSON ANDREW']","['Middle School: JACKSON ANDREW ', 'Middle School: JACKSON ANDREW']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1684,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
42,6230 Mulberry St,Philadelphia,PA,19135,225000,1528,6143,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: ETHAN ALLEN ', 'Elementary School: ETHAN ALLEN']",[],"['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2289,Multi family,1950,05/15/2020,['Neighborhood: COBBS CREEK<'],[],53.0
43,2053 Christian St Unit B,Philadelphia,PA,19146,263000,792,[],1,[''],1,[],[],[],[],[],[],[],[],[],Condo,1900,05/17/2020,['Neighborhood: COBBS CREEK<'],[],
44,2360 E Harold St,Philadelphia,PA,19125,245000,833,643,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: HACKETT SCHOOL ', 'Elementary School: HACKETT SCHOOL']",[],"['High School: PENN TREATY ', 'High School: PENN TREATY']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1845,Multi family,1875,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
45,306 Fulton St,Philadelphia,PA,19147,767500,2200,[],2,2,3,[],[],[],[],[],[],[],[],[],Multi family,1979,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
46,1945 S 4th St,Philadelphia,PA,19148,165000,1202,735,1,[''],3,[],[],['Wall Unit Cooling'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1585,Multi family,1920,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
47,5102 Marlow St,Philadelphia,PA,19124,60000,960,809,1,[''],3,[],[],['Ceiling Fan(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,850,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
48,621 W Hortter St,Philadelphia,PA,19119,896500,4540,16757,3,1,5,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7377,Single family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
49,4225 Regent Sq,Philadelphia,PA,19104,527200,1710,1395,2,[''],5,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: PENN ALEXANDER SCHOOL ', 'Elementary School: PENN ALEXANDER SCHOOL']","['Middle School: PENN ALEXANDER SCHOOL ', 'Middle School: PENN ALEXANDER SCHOOL']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4855,Multi family,1915,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
50,302 W Hortter St,Philadelphia,PA,19119,425000,2262,4774,3,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4772,Single family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
51,5423 Irving St,Philadelphia,PA,19139,248000,2280,1199,1,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,687,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
52,1013 Jackson St,Philadelphia,PA,19148,410000,2218,965,3,1,4,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: ABRAM JENKS ', 'Elementary School: ABRAM JENKS']","['Middle School: FRANCIS SCOTT KEY SCHOOL ', 'Middle School: FRANCIS SCOTT KEY SCHOOL']","['High School: SOUTH PHILADELPHIA ', 'High School: SOUTH PHILADELPHIA']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4316,Multi family,1925,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
53,6263 Algard St,Philadelphia,PA,19135,175000,1136,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1945,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
54,1337 E Palmer St,Philadelphia,PA,19125,405000,1200,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
55,437 W Coulter St,Philadelphia,PA,19144,152000,736,960,1,1,3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,962,Multi family,1900,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
56,214 N Horton St,Philadelphia,PA,19139,153700,1044,707,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,864,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
57,1345 N Howard St,Philadelphia,PA,19122,625000,1860,2000,2,[''],3,[],[],['Wall Unit Cooling'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3400,Multi family,1915,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
58,733 Ellsworth St,Philadelphia,PA,19147,455000,1440,[],2,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
59,4937 Hazel Ave,Philadelphia,PA,19143,515000,3280,2255,[],[],0,[],[],['Ductless/Mini'],['Hot Water '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3999,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],[],53.0
60,2886 Angus Rd,Philadelphia,PA,19114,227000,1296,1623,2,[''],4,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: ROBERT B', 'Elementary School: ROBERT B']","['Middle School: ROBERT B', 'Middle School: ROBERT B']","['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2359,Multi family,1960,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
61,6644 Erdrick St,Philadelphia,PA,19135,170000,1088,1240,1,[''],3,[],[],['Wall Unit Cooling'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1646,Multi family,1950,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
62,6728 N Woodstock St,Philadelphia,PA,19138,130000,1136,1087,1,[''],3,[],[],[],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1501,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
63,2125 N 20th St,Philadelphia,PA,19121,291800,2120,1727,[],[],0,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],Multi family,1915,05/16/2020,['Neighborhood: COBBS CREEK<'],[],53.0
64,1231 S 61st St,Philadelphia,PA,19143,149900,1208,1303,1,1,3,[],[],['Wall Unit Cooling'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1103,Multi family,1916,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
65,128 W Pomona St,Philadelphia,PA,19144,180000,1173,1169,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1548,Multi family,1900,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
66,2001 Hamilton St Apt 318,Philadelphia,PA,19130,205000,674,[],1,[''],1,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2968,Condo,1970,05/17/2020,['Neighborhood: COBBS CREEK<'],['481'],53.0
67,831 McClellan St,Philadelphia,PA,19148,200000,756,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
68,3934 Wyalusing Ave,Philadelphia,PA,19104,45000,986,693,1,[''],3,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,575,Multi family,1930,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
69,625 Hoffman St,Philadelphia,PA,19148,75000,[],672,[],[],[],[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,360,Land,[],05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
70,2634 N 5th St,Philadelphia,PA,19133,100000,725,1247,[],[],0,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,396,Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
71,642 N 17th St,Philadelphia,PA,19130,1010000,3315,1430,3,1,3,[],11,['Ceiling Fan(s)'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,10529,Single family,2007,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
72,1310 N Hope St Apt 5,Philadelphia,PA,19122,563000,2011,647,3,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1877,[],2014,[],['Neighborhood: COBBS CREEK<'],['62'],53.0
73,4020 Spring Garden St,Philadelphia,PA,19104,525000,2622,1498,[],[],0,[],[],['Central A/C'],['Radiant'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3375,Multi family,1915,05/15/2020,['Neighborhood: COBBS CREEK<'],[],53.0
74,6910 Oakley St,Philadelphia,PA,19111,246500,1552,[],2,1,3,[],[],[],[],[],[],[],[],[],Single family,1927,05/16/2020,['Neighborhood: COBBS CREEK<'],[],
75,2846 Willits Rd,Philadelphia,PA,19136,219000,1404,2517,1,2,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2480,Multi family,1962,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
76,5449 Quentin St,Philadelphia,PA,19128,302000,1132,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1955,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
77,512 Catharine St,Philadelphia,PA,19147,715000,2040,849,2,1,3,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,9524,Multi family,1915,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
78,3570 Cresson St,Philadelphia,PA,19129,190000,896,1180,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2424,Multi family,1939,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
79,493 Shurs Ln,Philadelphia,PA,19128,270000,1660,1884,1,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3052,Single family,1930,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
80,1756 N Lambert St,Philadelphia,PA,19121,375000,[],839,3,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1482,Land,2019,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
81,7333 Revere St,Philadelphia,PA,19152,267000,1320,2686,1,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3372,Single family,1960,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
82,1762 N Howard St,Philadelphia,PA,19122,[],[],[],2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],[],2019,[],['Neighborhood: COBBS CREEK<'],['90'],53.0
83,1625 S Clarion St,Philadelphia,PA,19148,330000,784,672,1,1,2,[],[],['Wall Unit Cooling'],['Radiant'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1037,Multi family,1920,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
84,1758 N Howard St Unit 7,Philadelphia,PA,19122,[],[],[],2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],[],2019,[],['Neighborhood: COBBS CREEK<'],['90'],53.0
85,2001 Hamilton St Apt 718,Philadelphia,PA,19130,210000,674,[],1,[''],1,[],[],[],[],[],[],[],[],[],Condo,1970,05/17/2020,['Neighborhood: COBBS CREEK<'],[],
86,7215 Shalkop St,Philadelphia,PA,19128,301000,1532,4199,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3889,Single family,1965,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
87,122224 S Broad St Unit D,Philadelphia,PA,19146,292000,1173,[],1,[''],1,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3931,[],1900,[],['Neighborhood: COBBS CREEK<'],['357'],53.0
88,6349 McCallum St,Philadelphia,PA,19144,350000,1536,3300,1,1,3,[],[],['Wall Unit Cooling'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1781,Single family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
89,815 E Ontario St,Philadelphia,PA,19134,72000,1410,1124,1,[''],3,[],[],['Window Unit(s)'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,799,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
90,8055 Moro St,Philadelphia,PA,19136,155000,2366,[],2,[''],3,[],[],[],[],[],[],[],[],[],Single family,1960,05/16/2020,['Neighborhood: COBBS CREEK<'],[],
91,344 E Albanus St,Philadelphia,PA,19120,160000,1460,1124,[],[],0,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1436,Multi family,1940,05/15/2020,['Neighborhood: COBBS CREEK<'],[],53.0
92,517 Montrose St,Philadelphia,PA,19147,490000,2032,[],3,[''],3,[],[],[],[],[],[],[],[],[],Multi family,2011,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
93,3424 Tampa St,Philadelphia,PA,19134,32000,728,601,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,559,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
94,2252 N Hancock St,Philadelphia,PA,19133,399125,[],839,3,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,148,Land,2020,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
95,2227 N Hope St,Philadelphia,PA,19133,429900,[],[],2,[''],3,[],11,[],[],[],[],[],[],[],[],2020,[],['Neighborhood: COBBS CREEK<'],[],
96,502 McKean St,Philadelphia,PA,19148,421500,[],1055,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,774,Land,2020,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
97,2340 W Huntingdon St,Philadelphia,PA,19132,60000,1204,937,1,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,647,Multi family,1915,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
98,821 Marlyn Rd,Philadelphia,PA,19151,237000,1563,1599,2,1,3,[],[],['Ceiling Fan(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1961,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
99,1924 Watkins St,Philadelphia,PA,19145,395000,[],[],3,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],[],
100,9134 Old Newtown Rd,Philadelphia,PA,19115,433500,3395,5545,2,2,4,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],[],2019,[],['Neighborhood: COBBS CREEK<'],['0'],53.0
101,2508 Grays Ferry Ave Unit 3,Philadelphia,PA,19146,[],[],[],3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1,[],2020,[],['Neighborhood: COBBS CREEK<'],['100'],53.0
102,418 Kingsley St,Philadelphia,PA,19128,475000,2280,2209,2,2,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],Multi family,2019,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
103,3209 Salerno Way,Philadelphia,PA,19145,540000,2896,2040,2,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1998,Multi family,2014,05/16/2020,['Neighborhood: COBBS CREEK<'],['140'],53.0
104,2315 Aspen St,Philadelphia,PA,19130,655000,1950,911,2,[''],3,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: BACHE', 'Elementary School: BACHE']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7844,Multi family,1876,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
105,544 W Clapier St,Philadelphia,PA,19144,230000,1562,2565,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2230,Multi family,1950,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
106,1235 E Colona St,Philadelphia,PA,19125,500000,2133,923,2,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2048,Multi family,2013,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
107,2052 Fernon St,Philadelphia,PA,19145,325000,1634,657,2,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,929,Multi family,1923,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
108,210 Dupont St,Philadelphia,PA,19127,259400,1226,1581,2,[''],2,[],[],['Window Unit(s)'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2681,Multi family,1900,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
109,3331 Midvale Ave,Philadelphia,PA,19129,372000,1472,3761,3,[''],3,[],11,['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3802,Multi family,1945,05/17/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
110,2483 76th Ave,Philadelphia,PA,19150,229900,2124,1935,2,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1989,Multi family,1930,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
111,3312 Cottman Ave,Philadelphia,PA,19149,185000,1548,1583,1,1,3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2314,Multi family,1945,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
112,1210 E Duval St,Philadelphia,PA,19138,290000,1253,9799,1,[''],2,[],[],[],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2307,Single family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
113,53831/2 Charles St,Philadelphia,PA,19124,129900,1051,1432,1,1,3,[],[],['Window Unit(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1403,[],1952,[],['Neighborhood: COBBS CREEK<'],['0'],53.0
114,2637 Lenape Rd,Philadelphia,PA,19131,300999,2056,1609,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3826,Multi family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
115,1704 Dickinson St,Philadelphia,PA,19146,411000,1700,1008,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3473,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
116,2248 Simon St,Philadelphia,PA,19137,90000,821,[],1,[''],2,[],[],[],[],[],[],[],[],[],Multi family,1928,05/15/2020,['Neighborhood: COBBS CREEK<'],[],
117,89 W Sharpnack St,Philadelphia,PA,19119,200000,2688,2422,2,1,5,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3999,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
118,119 E Springer St,Philadelphia,PA,19119,149900,938,1275,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1299,Single family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
119,2118 Naudain St,Philadelphia,PA,19146,468000,960,480,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: GREENFIELD ALBERT ', 'Elementary School: GREENFIELD ALBERT']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6345,Multi family,1925,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
120,636 McClellan St,Philadelphia,PA,19148,225000,1044,686,1,[''],3,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1839,Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
121,2402 Federal St,Philadelphia,PA,19146,324000,1221,[],1,1,3,[],[],[],[],[],[],[],[],[],Multi family,1923,05/16/2020,['Neighborhood: COBBS CREEK<'],[],
